ensembl_transcript_id	external_gene_name
ENST00000818045	
ENST00000818046	
ENST00000818047	
ENST00000818048	
ENST00000818049	
ENST00000818050	
ENST00000818051	
ENST00000818052	
ENST00000818053	
ENST00000818054	
ENST00000818055	
ENST00000818056	
ENST00000818057	
ENST00000818058	
ENST00000818059	
ENST00000818060	
ENST00000818061	
ENST00000818062	
ENST00000818063	
ENST00000818064	
ENST00000818065	
ENST00000818066	
ENST00000818067	
ENST00000818068	
ENST00000818069	
ENST00000818070	
ENST00000818071	
ENST00000818072	
ENST00000818073	
ENST00000818074	
ENST00000818075	
ENST00000818076	
ENST00000818077	
ENST00000818078	
ENST00000818079	
ENST00000818080	
ENST00000818081	
ENST00000823593	
ENST00000823594	
ENST00000823595	
ENST00000823596	
ENST00000823597	
ENST00000823598	
ENST00000823599	
ENST00000823600	
ENST00000823601	
ENST00000823602	
ENST00000823603	
ENST00000823604	
ENST00000823605	
ENST00000823606	
ENST00000823607	
ENST00000823608	
ENST00000823609	
ENST00000823610	
ENST00000823611	
ENST00000823612	
ENST00000823613	
ENST00000823614	
ENST00000823615	
ENST00000823616	
ENST00000823617	
ENST00000823618	
ENST00000823619	
ENST00000823620	
ENST00000823621	
ENST00000823622	
ENST00000823623	
ENST00000823624	
ENST00000823625	
ENST00000823626	
ENST00000823627	
ENST00000823628	
ENST00000823629	
ENST00000823630	
ENST00000823631	
ENST00000823632	
ENST00000823633	
ENST00000823634	
ENST00000823635	
ENST00000823636	
ENST00000823637	
ENST00000823638	
ENST00000823639	
ENST00000823640	
ENST00000823641	
ENST00000823642	
ENST00000823643	
ENST00000823644	
ENST00000823645	
ENST00000823646	
ENST00000823647	
ENST00000823648	
ENST00000823649	
ENST00000823650	
ENST00000823651	
ENST00000823652	
ENST00000823653	
ENST00000823654	
ENST00000823655	
ENST00000823656	
ENST00000823657	
ENST00000823658	
ENST00000823659	
ENST00000823660	
ENST00000823661	
ENST00000823662	
ENST00000823663	
ENST00000823664	
ENST00000823665	
ENST00000823666	
ENST00000823667	
ENST00000823668	
ENST00000823669	
ENST00000823670	
ENST00000823671	
ENST00000823672	
ENST00000823673	
ENST00000823674	
ENST00000823675	
ENST00000823676	
ENST00000823677	
ENST00000823678	
ENST00000823679	
ENST00000823680	
ENST00000823681	
ENST00000823682	
ENST00000823683	
ENST00000823684	
ENST00000823685	
ENST00000823686	
ENST00000823687	
ENST00000823688	
ENST00000823689	
ENST00000823690	
ENST00000823691	
ENST00000823692	
ENST00000823693	
ENST00000823694	
ENST00000823695	
ENST00000823696	
ENST00000823697	
ENST00000823698	
ENST00000823699	
ENST00000823700	
ENST00000823701	
ENST00000823702	
ENST00000823703	
ENST00000823704	
ENST00000823705	
ENST00000823706	
ENST00000823707	
ENST00000823708	
ENST00000823709	
ENST00000823710	
ENST00000823711	
ENST00000823712	
ENST00000823713	
ENST00000823714	
ENST00000823715	
ENST00000823716	
ENST00000823717	
ENST00000823718	
ENST00000823719	
ENST00000823720	
ENST00000823721	
ENST00000823722	
ENST00000823723	
ENST00000823724	
ENST00000823725	
ENST00000823726	
ENST00000823727	
ENST00000823728	
ENST00000823729	
ENST00000823730	
ENST00000823731	
ENST00000823732	
ENST00000823733	
ENST00000823734	
ENST00000823735	
ENST00000823736	
ENST00000823737	
ENST00000823738	
ENST00000823739	
ENST00000823740	
ENST00000823741	
ENST00000823742	
